Freq.	V(vzl1)*Ix(x7:B)	V(vzl2)*Ix(x3:B)	V(vzl3)*Ix(x11:B)
3.00000000000000e+005	(-1.78031502508248e+001dB,8.39556544700971e+001°)	(-1.78200796328868e+001dB,8.18285582271826e+001°)	(-1.78567961323924e+001dB,7.45560270123031e+001°)
3.06987897684226e+005	(-1.68949257080984e+001dB,8.07334977337152e+001°)	(-1.69140482704959e+001dB,7.85786550214826e+001°)	(-1.69612564336704e+001dB,7.12113004973276e+001°)
3.14138564415270e+005	(-1.59557260416536e+001dB,7.73643662358110e+001°)	(-1.59772757065690e+001dB,7.51765335658466e+001°)	(-1.60359076920161e+001dB,6.76971220007646e+001°)
3.21455791571282e+005	(-1.49829052327452e+001dB,7.38370215323095e+001°)	(-1.50071645715264e+001dB,7.16103107172523e+001°)	(-1.50783568834747e+001dB,6.39995365102326e+001°)
3.28943458842955e+005	(-1.39734501998721e+001dB,7.01388425405411e+001°)	(-1.40007623943358e+001dB,6.78665944782168e+001°)	(-1.40859047722323e+001dB,6.01026951101690e+001°)
3.36605536290589e+005	(-1.29239025978571e+001dB,6.62555344339340e+001°)	(-1.29546871954954e+001dB,6.39301619282394e+001°)	(-1.30554867178507e+001dB,5.59884443960807e+001°)
3.44446086449065e+005	(-1.18302588868295e+001dB,6.21707421452891e+001°)	(-1.18650328237524e+001dB,5.97835324128514e+001°)	(-1.19835989830652e+001dB,5.16357870113591e+001°)
3.52469266481859e+005	(-1.06878414817175e+001dB,5.78655276380310e+001°)	(-1.07272475378129e+001dB,5.54063918086885e+001°)	(-1.08662066532867e+001dB,4.70201618431186e+001°)
3.60679330385224e+005	(-9.49113105386927e+000dB,5.33176493135196e+001°)	(-9.53597697965784e+000dB,5.07748015369130e+001°)	(-9.69862831756384e+000dB,4.21124681790414e+001°)
3.69080631243714e+005	(-8.23354613654745e+000dB,4.85005488370485e+001°)	(-8.28485940160542e+000dB,4.58600909733578e+001°)	(-8.47539163281470e+000dB,3.68777208168533e+001°)
3.77677623538250e+005	(-6.90715052810234e+000dB,4.33818968379574e+001°)	(-6.96625642839352e+000dB,4.06272753308938e+001°)	(-7.19005304429252e+000dB,3.12731647431590e+001°)
3.86474865507940e+005	(-5.50226077313993e+000dB,3.79214591670729e+001°)	(-5.57089629830908e+000dB,3.50327475408001e+001°)	(-5.83497490708915e+000dB,2.52455851219349e+001°)
3.95477021566922e+005	(-4.00691408336110e+000dB,3.20678914519539e+001°)	(-4.08739797540372e+000dB,2.90208338981562e+001°)	(-4.40105560915343e+000dB,1.87273980444413e+001°)
4.04688864777496e+005	(-2.40613999818445e+000dB,2.57537973709261e+001°)	(-2.50163370075433e+000dB,2.25185259911429e+001°)	(-2.87741675089324e+000dB,1.16308603832737e+001°)
4.14115279380865e+005	(-6.80955726286886e-001dB,1.88878873950282e+001°)	(-7.95876149582006e-001dB,1.54272020012414e+001°)	(-1.25107478943729e+000dB,3.83932548892009e+000°)
4.23761263386826e+005	(1.19302287004961e+000dB,1.13421261410383e+001°)	(1.05232786725730e+000dB,7.60922054839157e+000°)	(4.93316177616753e-001dB,-4.80621796517547e+000°)
